algorithm,map_size,path_length,computation_time_ms,nodes_explored
dijkstra,50x50,98.0,8.795,99
astar,50x50,98.0,14.539,99
dstar_lite,50x50,98.0,21.055,99
rrt,50x50,70.468,18.19,400
rrt_star,50x50,69.934,16.232,600
prm,50x50,98.0,14.993,99
dijkstra,100x100,198.0,35.514,199
astar,100x100,198.0,27.768,199
dstar_lite,100x100,198.0,19.778,199
rrt,100x100,140.007,4.654,550
rrt_star,100x100,140.644,7.837,800
prm,100x100,198.0,18.712,199
dijkstra,500x500,998.0,2285.111,999
astar,500x500,998.0,1281.877,999
dstar_lite,500x500,998.0,1149.846,999
rrt,500x500,0.0,8.083,250
rrt_star,500x500,0.0,33.359,400
prm,500x500,998.0,1482.753,999
